time stamp,frame ID, input method, brush shape, input radius, eraser mode, color type, start time, end time,cursorVoxelPos
"2024_04_28-11:59:05.474690",0,0,0,2,0,0,"2024_04_28-11:59:05.474690","2024_04_28-11:59:05.474690",18.033-19.867-29.629-2.000
"2024_04_28-11:59:09.397956",1,0,0,2,0,0,"2024_04_28-11:59:09.397956","2024_04_28-11:59:09.397956",43.845-45.718-31.257-2.000
"2024_04_28-11:59:10.332806",2,0,0,2,0,0,"2024_04_28-11:59:10.332806","2024_04_28-11:59:10.332806",53.468-45.229-34.142-2.000
