time stamp,frame ID, input method, brush shape, input radius, eraser mode, color type, start time, end time,cursorVoxelPos
"2024_04_29-12:02:17.521469",0,0,0,2,0,4,"2024_04_29-12:02:17.520472","2024_04_29-12:02:17.520472",5.996-34.816-29.905-2.000
"2024_04_29-12:02:19.215643",1,0,0,2,0,4,"2024_04_29-12:02:19.215643","2024_04_29-12:02:19.215643",52.541-44.902-33.626-2.000
"2024_04_29-12:02:20.530528",2,0,0,2,0,4,"2024_04_29-12:02:20.530528","2024_04_29-12:02:20.530528",38.101-46.821-26.521-2.000
"2024_04_29-12:02:22.776196",3,0,0,2,0,4,"2024_04_29-12:02:22.776196","2024_04_29-12:02:22.776196",35.922-14.820-37.251-2.000
"2024_04_29-12:02:23.835465",4,0,0,2,0,4,"2024_04_29-12:02:23.835465","2024_04_29-12:02:23.835465",19.646-36.822-30.550-2.000
"2024_04_29-12:02:24.879067",5,0,0,2,0,4,"2024_04_29-12:02:24.879067","2024_04_29-12:02:24.879067",14.080-13.426-38.887-2.000
"2024_04_29-12:02:28.629462",6,0,0,2,0,4,"2024_04_29-12:02:28.629462","2024_04_29-12:02:28.629462",45.038-13.244-42.094-2.000
